002,001,16
003,002,32
005,004,16
006,005,36
008,007,16
009,008,36
011,010,7
012,011,10
014,013,7
015,014,10
017,016,18
018,017,36
020,019,20
022,021,20
024,023,22
026,025,NULL
028,027,22
030,029,16
031,030,NULL
033,032,16
034,033,NULL
036,035,NULL
038,037,NULL
040,039,NULL
042,041,22
044,043,21
045,044,NULL
047,046,24
049,048,31
051,050,26
053,052,28
055,054,33
057,056,28
059,058,NULL
061,060,25
062,061,NULL
064,063,16
065,064,NULL
067,066,28
068,067,NULL
070,069,21
071,070,NULL
073,072,30
075,074,25
076,075,NULL
078,077,40
080,079,37
082,081,30
085,084,31
087,086,34
089,088,38
091,090,NULL
093,092,25
094,093,NULL
097,096,26
099,098,28
101,100,30
103,102,NULL
105,104,28
110,109,35
112,111,42
117,116,32
119,118,33
121,120,NULL
130,129,20
134,133,NULL
135,133,NULL
136,133,NULL
139,138,40
141,140,40
148,147,30
149,148,55
